MC,date,year,month,flow,model_type,climate_change_scenario,loss_cover_scenario
20,2020-04,2020,4,174.9291525201768,VAR,1,0
20,2020-05,2020,5,215.01335580807202,VAR,1,0
20,2020-06,2020,6,155.4336382394071,VAR,1,0
20,2020-07,2020,7,126.80244322429873,VAR,1,0
20,2020-08,2020,8,111.34305805132871,VAR,1,0
20,2020-09,2020,9,160.58845531849855,VAR,1,0
20,2020-10,2020,10,179.69277482024404,VAR,1,0
20,2020-11,2020,11,208.05775822378948,VAR,1,0
20,2020-12,2020,12,165.40071838568178,VAR,1,0
20,2021-01,2021,1,127.33007816316069,VAR,1,0
20,2021-02,2021,2,115.01582018183191,VAR,1,0
20,2021-03,2021,3,165.55084148013046,VAR,1,0
20,2021-04,2021,4,183.15367919939118,VAR,1,0
20,2021-05,2021,5,195.04252262462433,VAR,1,0
20,2021-06,2021,6,157.2666512271878,VAR,1,0
20,2021-07,2021,7,136.00993454219076,VAR,1,0
20,2021-08,2021,8,123.07860253726099,VAR,1,0
20,2021-09,2021,9,165.19635596407053,VAR,1,0
20,2021-10,2021,10,188.49578663425152,VAR,1,0
20,2021-11,2021,11,198.84298817681983,VAR,1,0
20,2021-12,2021,12,163.2733789402017,VAR,1,0
21,2020-01,2020,1,9.721432866958061,VAR,1,0
21,2020-02,2020,2,8.897955555388483,VAR,1,0
21,2020-03,2020,3,8.11631996263808,VAR,1,0
21,2020-04,2020,4,8.486867000946424,VAR,1,0
21,2020-05,2020,5,8.452993803263325,VAR,1,0
21,2020-06,2020,6,10.49019789303491,VAR,1,0
21,2020-07,2020,7,11.596248303442064,VAR,1,0
21,2020-08,2020,8,10.626412976466266,VAR,1,0
21,2020-09,2020,9,9.668229161120575,VAR,1,0
21,2020-10,2020,10,9.474466352875151,VAR,1,0
21,2020-11,2020,11,9.891619268574178,VAR,1,0
21,2020-12,2020,12,10.526710501398831,VAR,1,0
