date,mc,v_loss_cover,v_rainfall_total,scenario,v_flow_mean_forecast
2021-12-01,11,0.02541,19.94,Def_25%_P_A1,12.999433541666647
2020-01-01,12,0.03197,78.41,Def_25%_P_A1,20.753350000000015
2020-02-01,12,0.032,52.01,Def_25%_P_A1,17.603750000000012
2020-03-01,12,0.03204,71.31,Def_25%_P_A1,9.125799999999984
2020-04-01,12,0.03207,120.16,Def_25%_P_A1,9.555099999999987
2020-05-01,12,0.03211,222.53,Def_25%_P_A1,11.863599999999996
2020-06-01,12,0.03214,207.46,Def_25%_P_A1,9.40904999999999
2020-07-01,12,0.03218,301.13,Def_25%_P_A1,12.346999999999998
2020-08-01,12,0.03221,275.62,Def_25%_P_A1,12.766749999999996
2020-09-01,12,0.03225,128.43,Def_25%_P_A1,9.094549999999987
2020-10-01,12,0.03228,145.73,Def_25%_P_A1,9.089749999999988
2020-11-01,12,0.03232,68.78,Def_25%_P_A1,8.311599999999991
2020-12-01,12,0.03235,138.77,Def_25%_P_A1,9.933299999999985
2021-01-01,12,0.03239,89.91,Def_25%_P_A1,8.17784999999999
2021-02-01,12,0.03242,44.64,Def_25%_P_A1,6.0573499999999925
2021-03-01,12,0.03246,52.11,Def_25%_P_A1,7.076449999999987
2021-04-01,12,0.03249,132.03,Def_25%_P_A1,10.268599999999987
2021-05-01,12,0.03253,61.18,Def_25%_P_A1,8.214499999999992
2021-06-01,12,0.03256,115.81,Def_25%_P_A1,9.303599999999983
2021-07-01,12,0.0326,41.39,Def_25%_P_A1,6.064099999999992
2021-08-01,12,0.03263,45.3,Def_25%_P_A1,6.67574999999999
2021-09-01,12,0.03267,8.45,Def_25%_P_A1,6.550449999999988
2021-10-01,12,0.0327,189.1,Def_25%_P_A1,9.967449999999987
2021-11-01,12,0.03274,191.69,Def_25%_P_A1,9.450999999999995
2021-12-01,12,0.03277,56.68,Def_25%_P_A1,7.124099999999993
2020-01-01,13,0.05786,391.64,Def_25%_P_A1,225.6518634374994
2020-02-01,13,0.05792,183.73,Def_25%_P_A1,230.33052914061892
2020-03-01,13,0.05798,274.9,Def_25%_P_A1,266.56358546874884
2020-04-01,13,0.05803,338.75,Def_25%_P_A1,272.71632421868935
2020-05-01,13,0.05809,634.11,Def_25%_P_A1,404.4651659374948
2020-06-01,13,0.05815,48.06,Def_25%_P_A1,239.9147809375203
2020-07-01,13,0.05821,112.57,Def_25%_P_A1,112.34137976561637
2020-08-01,13,0.05826,183.9,Def_25%_P_A1,131.93065328117672
2020-09-01,13,0.05832,309.11,Def_25%_P_A1,210.89021414056973
2020-10-01,13,0.05838,644.54,Def_25%_P_A1,351.7324657031089
