cuenca|area_ha|a1_porc_est_precip|rango_a1|a2_porc_est_precip|rango_a2|b2_porc_est_precip|rango_b2
142|178053.37|-29.536541|Entre -30% a -10%|2.168097|Entre -10% a 10%|15.194459|Entre 10% a 30%
143|144029.21|-27.168076|Entre -30% a -10%|6.149272|Entre -10% a 10%|15.700414|Entre 10% a 30%
144|85024.18|-31.418119|Menores de -30%|12.856763|Entre 10% a 30%|21.431688|Entre 10% a 30%
145|228859.96|-21.149788|Entre -30% a -10%|-6.679988|Entre -10% a 10%|4.763946|Entre -10% a 10%
146|384420.18|-23.94605|Entre -30% a -10%|0.982433|Entre -10% a 10%|8.081033|Entre -10% a 10%
147|319898.95|-18.030871|Entre -30% a -10%|-8.915612|Entre -10% a 10%|3.704003|Entre -10% a 10%
148|196744.52|-1.262966|Entre -10% a 10%|10.119386|Entre 10% a 30%|13.166614|Entre 10% a 30%
149|124305.48|-12.080096|Entre -30% a -10%|6.443737|Entre -10% a 10%|11.698875|Entre 10% a 30%
150|808081.34|-15.944453|Entre -30% a -10%|-2.217367|Entre -10% a 10%|2.328607|Entre -10% a 10%
151|384241.85|-14.227595|Entre -30% a -10%|-9.174756|Entre -10% a 10%|-4.600351|Entre -10% a 10%
152|442363.85|2.409078|Entre -10% a 10%|11.386633|Entre 10% a 30%|12.690489|Entre 10% a 30%
153|458534.19|-1.519301|Entre -10% a 10%|2.699888|Entre -10% a 10%|7.952685|Entre -10% a 10%
154|343978.58|-5.621849|Entre -10% a 10%|1.98388|Entre -10% a 10%|3.793136|Entre -10% a 10%
155|176293.93|-18.407453|Entre -30% a -10%|-4.701192|Entre -10% a 10%|-4.383076|Entre -10% a 10%
156|188324.94|-0.968639|Entre -10% a 10%|10.134444|Entre 10% a 30%|12.713639|Entre 10% a 30%
157|111247.68|-0.206527|Entre -10% a 10%|10.110864|Entre 10% a 30%|12.624773|Entre 10% a 30%
158|698043.97|-0.012759|Entre -10% a 10%|9.960528|Entre -10% a 10%|11.969437|Entre 10% a 30%
159|485653.49|2.904343|Entre -10% a 10%|11.952283|Entre 10% a 30%|13.31502|Entre 10% a 30%
160|884937.06|2.339209|Entre -10% a 10%|11.450114|Entre 10% a 30%|12.902314|Entre 10% a 30%
161|443727.48|3.092133|Entre -10% a 10%|12.051022|Entre 10% a 30%|13.382456|Entre 10% a 30%
162|1036733.91|-5.916876|Entre -10% a 10%|3.293659|Entre -10% a 10%|5.321975|Entre -10% a 10%
163|692222.99|1.925555|Entre -10% a 10%|11.447705|Entre 10% a 30%|11.988993|Entre 10% a 30%
164|233176.38|1.731223|Entre -10% a 10%|11.766125|Entre 10% a 30%|12.696583|Entre 10% a 30%
165|233974.05|-20.286935|Entre -30% a -10%|-0.719767|Entre -10% a 10%|-3.685933|Entre -10% a 10%
166|342589.55|-12.241631|Entre -30% a -10%|6.403831|Entre -10% a 10%|5.394935|Entre -10% a 10%
167|140502.55|-7.938088|Entre -10% a 10%|8.987173|Entre -10% a 10%|10.489752|Entre 10% a 30%
168|250405.47|-20.400028|Entre -30% a -10%|-7.198913|Entre -10% a 10%|-8.5499|Entre -10% a 10%
